clean_tweet),labels
Anies urg form true leader peopl border god mr istiqomah piou moral intellig bodi soul amen,positif
mr Anies father figur gen lost father figur abah Anies,positif
bubbl,netral
download produc commensur,netral
support sir expect happen indonesia averag person support cheat,positif
Anies bubbl trend,netral
heartrend scream ojol driver,negatif
rise intellig peopl choos,positif
hope effort carri special sir prayer piou peopl wrong bless allah s grace allah grant hope countri led sir,positif
s cool amp,positif
allahumma sholli wasallim ala sayyidina muhammad,netral
time chang,netral
cool gokilll cool challengetest,positif
morn mother prepar children school prepar complementari feed kind busi mother activ s listen amin women,positif
Anies domin social media debat,positif
amen ticket beat coldplay,netral
cover carcass smell,positif
dog campaign extraordinari concert peopl chang,positif
presidenti campaign pare south sulawesi viral social media campaign viral stori cri Anies pare investig legisl candid pk restaur,negatif
support Anies baswedan antipathet covid allah eye heart wrong view mr move readi testifi,negatif
lot drama gimmick pretend farmer,positif
explain Anies basw s idea potenti convinc voter undecid,positif
trump card bring Anies win,positif
care grass indonesian footbal progress,positif
s crazi mr Anies talk nt link s mr Anies jakarta s origin data dki jakarta,netral
sign languag time chang,netral
nt,netral
nt ticket event rememb nt ticket s,positif
simpl leader enrich,netral
agenc traine debut stadium true nt think,positif
amen win,positif
hahaha wait minut peopl vow antifak sing lesson sir,positif
Anies rengasdengklok m wednesday holiday amen arek sing friend tauru libra punish,positif
survey real data fake guarante estim peopl s love Anies exchang presid,positif
adhi massardi republ control oligarch Anies baswedan lose,negatif
assalamualaikum bro permiss person color analysi bro,netral
fight chang,negatif
unit indonesia,netral
readi nation,positif
kind surfac leader peopl,positif
prabowo promis build float hous,positif
Anies deliber incit,netral
el samsul,netral
raim laod melodi voic intellig head,positif
hope februari indonesian support flood stadium,positif
sophist cellphon spec camera importantli cheap price poco pro,positif
note care,positif
track record happi governor,positif
definit surround corrupt bro leader live hous nt hectar land mandat negoti rupiah honest leader,positif
agre peopl live govern reviv govern light peopl rare brain profitori job citi s clean honest trustworthi,positif
